#{"t_start": 1735027290.5061884, "env_id": "GraspEnv_v3"}
r,l,t
0.898406,1,2.362082
-6.115274,9,2.371088
-7.732456,9,2.379064
-8.964777,9,2.386057
0.83879,1,2.389079
-8.095037,9,2.396066
-7.83972,9,2.403058
-2.636434,9,2.410057
0.985392,1,2.412064
0.113331,5,2.416145
0.876167,1,2.484476
0.989169,1,2.489482
0.999061,1,2.494482
-8.127598,9,2.510474
-6.568982,9,2.518528
-6.149006,9,2.527127
-3.087103,9,2.536257
-6.194718,9,2.548214
-2.784367,9,2.554216
-5.341031,9,2.562207
-7.177529,9,2.625271
-3.327087,9,2.632474
-8.8874,9,2.640489
0.881786,1,2.643476
-7.813622,9,2.650467
-6.335134,9,2.658469
-6.097313,9,2.665478
-3.895638,9,2.671463
0.831954,1,2.673485
-4.731809,9,2.680464
-5.246338,9,2.735128
0.926095,1,2.737151
-8.301396,9,2.746122
-5.970872,9,2.754128
-5.087878,9,2.761128
-8.75734,9,2.767126
-7.616175,9,2.774126
-0.227508,4,2.778126
-6.619275,9,2.784125
-4.319304,9,2.79112
-8.929532,9,2.846811
-6.985434,9,2.856827
0.841925,1,2.858811
-4.513472,9,2.866845
-6.337956,9,2.875818
-3.278521,9,2.885815
-8.642272,9,2.896816
-2.830378,9,2.906871
-4.635325,9,2.915014
-2.276554,9,2.922008
-3.195899,9,2.976739
0.940255,1,2.979758
-4.114854,9,2.987751
0.672078,2,2.989753
-4.812734,9,2.997755
-4.496759,9,3.003791
-8.539379,9,3.01384
-5.51842,9,3.022832
-8.337698,9,3.02971
-8.299086,9,3.037704
-8.453091,9,3.085653
-6.408466,9,3.093641
-7.553458,9,3.100735
0.926361,1,3.102627
-8.081484,9,3.109678
-3.319692,9,3.116703
-8.315352,9,3.123774
-2.755234,9,3.13174
-8.492386,9,3.13871
-5.794743,9,3.146727
-2.983837,9,3.19963
-8.780836,9,3.20667
-7.477093,9,3.213702
0.858272,1,3.216699
-2.886836,9,3.224714
-7.150573,9,3.231416
-7.072686,9,3.238446
-8.457364,9,3.246434
-5.147923,9,3.253491
-4.443022,9,3.259483
0.941969,1,3.305402
-5.186332,9,3.314504
-8.962517,9,3.323547
-8.234125,9,3.330265
0.853116,1,3.332254
-8.636749,9,3.340253
-8.206795,9,3.347263
-8.979767,9,3.354282
0.851962,1,3.356251
-3.38206,9,3.363261
-8.811838,9,3.419329
-8.560357,9,3.428903
-2.76876,9,3.436957
0.975601,1,3.438971
-0.763488,7,3.444957
-6.08654,9,3.451951
-8.261275,9,3.458945
-5.01063,9,3.466957
-7.923066,9,3.473954
-6.699324,9,3.480954
-8.033655,9,3.533284
-7.688705,9,3.541284
-4.699902,9,3.549298
-5.776284,9,3.557292
0.907751,1,3.559298
-6.917509,9,3.566323
