time/fps,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef
1657,26,4,0,,,,,,,,
1987,59,8,0,,,,,,,,
2212,90,12,0,,,,,,,,
,100,,,6.6,-3.57436,,,,,,
397,137,16,0,,,,,,,,
464,164,20,0,,,,,,,,
528,193,24,0,,,,,,,,
,200,,,9.4,-7.132011200000001,,,,,,
412,234,28,0,,,,,,,,
474,276,32,0,,,,,,,,
482,289,36,0,,,,,,,,
,300,,,9.1,-5.4218348999999995,,,,,,
410,325,40,0,,,,,,,,
435,349,44,0,,,,,,,,
486,398,48,0,,,,,,,,
,400,,,8.6,-5.2220641,,,,,,
416,417,52,1,,,,,,,,
430,435,56,1,,,,,,,,
467,481,60,1,,,,,,,,
,500,,,10.7,-7.3758235,,,,,,
410,511,64,1,,,,,,,,
433,545,68,1,,,,,,,,
458,584,72,1,,,,,,,,
,600,,,7.5,-3.9707238999999994,,,,,,
425,609,76,1,,,,,,,,
441,637,80,1,,,,,,,,
464,676,84,1,,,,,,,,
474,696,88,1,,,,,,,,
,700,,,10.7,-7.241757699999999,,,,,,
430,727,92,1,,,,,,,,
439,746,96,1,,,,,,,,
454,777,100,1,,,,,,,,
,800,,,11.8,-7.716440399999999,,,,,,
418,813,104,1,,,,,,,,
430,843,108,1,,,,,,,,
441,868,112,1,,,,,,,,
448,887,116,1,,,,,,,,
,900,,,8.6,-4.273574999999999,,,,,,
423,915,120,2,,,,,,,,
441,959,124,2,,,,,,,,
450,985,128,2,,,,,,,,
,1000,,,9.7,-5.5149386,,,,,,
422,1010,132,2,,,,,,,,
439,1057,136,2,,,,,,,,
452,1094,140,2,,,,,,,,
,1100,,,9.8,-6.426939899999999,,,,,,
431,1132,144,2,,,,,,,,
442,1167,148,2,,,,,,,,
449,1189,152,2,,,,,,,,
,1200,,,7.3,-4.820200900000001,,,,,,
435,1226,156,2,,,,,,,,
438,1237,160,2,,,,,,,,
449,1276,164,2,,,,,,,,
,1300,,,6.0,-3.2640769999999995,,,,,,
436,1303,168,2,,,,,,,,
446,1339,172,3,,,,,,,,
458,1383,176,3,,,,,,,,
,1400,,,7.8,-4.3972804000000005,,,,,,
442,1408,180,3,,,,,,,,
447,1429,184,3,,,,,,,,
456,1463,188,3,,,,,,,,
462,1488,192,3,,,,,,,,
,1500,,,9.4,-5.9280292999999995,,,,,,
446,1527,196,3,,,,,,,,
454,1558,200,3,,,,,,,,
462,1593,204,3,,,,,,,,
,1600,,,8.2,-4.0982623,,,,,,
454,1647,208,3,,,,,,,,
460,1676,212,3,,,,,,,,
464,1696,216,3,,,,,,,,
,1700,,,8.6,-5.0848721,,,,,,
445,1718,220,3,,,,,,,,
453,1754,224,3,,,,,,,,
458,1779,228,3,,,,,,,,
,1800,,,7.6,-4.4475201,,,,,,
446,1803,232,4,,,,,,,,
455,1845,236,4,,,,,,,,
459,1865,240,4,,,,,,,,
,1900,,,8.6,-4.649326799999999,,,,,,
450,1913,244,4,,,,,,,,
457,1949,248,4,,,,,,,,
463,1981,252,4,,,,,,,,
,2000,,,9.8,-6.2111193,,,,,,
450,2013,256,4,,,,,,,,
454,2038,260,4,,,,,,,,
461,2077,264,4,,,,,,,,
465,2099,268,4,,,,,,,,
,2100,,,9.6,-5.8831359,,,,,,
451,2126,272,4,,,,,,,,
455,2151,276,4,,,,,,,,
460,2179,280,4,,,,,,,,
,2200,,,5.8,-2.285672,,,,,,
458,2235,284,4,,,,,,,,
464,2271,288,4,,,,,,,,
467,2289,292,4,,,,,,,,
,2300,,,8.7,-5.4105555999999995,,,,,,
454,2310,296,5,,,,,,,,
459,2341,300,5,,,,,,,,
461,2357,304,5,,,,,,,,
464,2379,308,5,,,,,,,,
,2400,,,9.0,-5.1757107,,,,,,
453,2404,312,5,,,,,,,,
458,2439,316,5,,,,,,,,
462,2462,320,5,,,,,,,,
,2500,,,8.0,-4.0351765,,,,,,
454,2502,324,5,,,,,,,,
462,2548,328,5,,,,,,,,
463,2559,332,5,,,,,,,,
468,2590,336,5,,,,,,,,
,2600,,,10.5,-6.6943494,,,,,,
455,2621,340,5,,,,,,,,
458,2642,344,5,,,,,,,,
463,2673,348,5,,,,,,,,
,2700,,,8.7,-5.965183,,,,,,
455,2710,352,5,,,,,,,,
461,2753,356,5,,,,,,,,
464,2779,360,5,,,,,,,,
,2800,,,9.4,-5.8725986,,,,,,
452,2805,364,6,,,,,,,,
456,2835,368,6,,,,,,,,
460,2862,372,6,,,,,,,,
462,2880,376,6,,,,,,,,
,2900,,,9.3,-5.3452359,,,,,,
453,2913,380,6,,,,,,,,
457,2947,384,6,,,,,,,,
461,2980,388,6,,,,,,,,
463,2997,392,6,,,,,,,,
,3000,,,9.4,-5.8914031,,,,,,
455,3032,396,6,,,,,,,,
460,3068,400,6,,,,,,,,
,3100,,,7.0,-3.8636418,,,,,,
456,3113,404,6,,,,,,,,
461,3153,408,6,,,,,,,,
465,3192,412,6,,,,,,,,
,3200,,,9.0,-5.0918355,,,,,,
456,3210,416,7,,,,,,,,
459,3237,420,7,,,,,,,,
463,3270,424,7,,,,,,,,
,3300,,,10.3,-7.532318399999999,,,,,,
454,3308,428,7,,,,,,,,
458,3342,432,7,,,,,,,,
462,3374,436,7,,,,,,,,
,3400,,,8.3,-4.8010936,,,,,,
455,3402,440,7,,,,,,,,
459,3445,444,7,,,,,,,,
464,3487,448,7,,,,,,,,
,3500,,,10.6,-6.8331094000000006,,,,,,
455,3521,452,7,,,,,,,,
459,3556,456,7,,,,,,,,
462,3586,460,7,,,,,,,,
,3600,,,8.3,-4.7144639,,,,,,
456,3619,464,7,,,,,,,,
458,3635,468,7,,,,,,,,
461,3666,472,7,,,,,,,,
